,ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default
95,128,14,0,2,1,11,2,2,2,2,3,2,15788,15047,14274,14057,13441,13004,2740,2472,3593,0,1844,2170,0
96,129,8,0,1,2,4,2,2,2,2,2,2,11010,13152,11292,11415,11508,10159,6302,2375,4029,4316,1755,4907,0
97,130,36,0,1,2,20,3,1,1,1,1,0,379,1987,975,709,335,362,2334,645,544,0,0,0,0
98,131,28,1,2,1,35,2,2,2,2,2,2,19746,19023,17628,16410,18123,17689,4742,4251,3683,5873,4067,3888,0
99,132,3,1,3,2,5,2,2,2,2,2,2,4333,4601,4808,4962,5279,5527,1336,1129,857,1378,1370,1358,0
100,133,14,0,1,1,13,2,2,2,2,2,2,8136,8905,9841,11634,12143,12233,3592,3541,5227,3441,2425,3620,0
101,134,20,1,1,2,16,2,2,2,2,2,2,16864,16580,15783,15827,15645,15471,3088,2567,2693,2749,2773,3385,0
102,135,20,1,3,2,9,2,2,2,2,2,2,19551,19270,18961,18333,17589,16574,4537,4400,4519,3912,3394,3192,0
103,137,5,0,3,1,36,5,4,2,2,2,2,5358,5095,5301,5350,5427,5507,0,1225,430,456,542,540,0
104,138,3,0,1,2,20,4,4,4,4,3,2,8210,8749,8622,9277,9145,9214,2772,0,1941,0,1118,1147,0
105,139,5,0,2,2,6,4,1,1,1,1,3,510,552,827,429,1039,729,281,515,176,803,0,344,0
106,140,29,0,3,1,26,1,1,1,1,2,1,1068,557,566,812,578,638,285,267,682,0,377,324,0
107,141,25,1,1,1,13,2,2,4,2,2,2,18289,18504,18226,18058,17763,17541,5942,0,3827,3741,4032,2938,0
108,142,6,1,2,1,25,2,2,2,2,2,2,7648,8011,8251,8771,8926,9055,2402,1129,1328,933,1370,1358,0
109,143,11,1,1,2,6,2,2,2,2,2,2,16681,16651,16604,14819,14690,14509,3843,2975,2511,2396,2425,2297,0
110,144,10,0,2,1,6,1,4,4,2,2,2,16718,16228,13473,9670,8192,250,2534,0,1174,1296,12,5553,0
111,145,9,1,2,1,14,2,2,2,2,2,3,14696,14734,14827,14996,15306,15186,2772,2736,2945,4626,2983,0,0
112,146,5,1,2,2,1,2,2,2,2,2,2,8984,9159,9300,9141,9347,9373,1153,1074,841,950,1187,509,0
113,147,27,0,2,2,16,2,2,2,2,2,2,10433,9879,9599,9107,8856,8378,3592,1592,2511,3011,2425,1760,0
114,148,30,1,1,2,9,1,1,1,1,1,1,706,2159,316,2523,1884,912,2627,0,3323,2254,740,677,0
115,149,5,1,2,2,1,1,2,2,2,2,2,4168,5806,4864,3517,2089,3668,5759,645,114,0,3394,4552,0
116,152,8,0,1,2,9,0,1,2,2,2,2,3355,343,701,1207,1517,2923,357,334,857,456,2737,0,0
117,153,5,0,2,2,9,3,4,2,2,2,3,12192,11855,12114,9957,8175,7982,0,1129,857,1783,0,1760,0
118,154,2,1,2,2,1,2,2,2,2,2,2,6168,5156,5238,5271,5511,5704,859,838,430,1378,1370,913,0
119,155,8,1,2,1,8,2,2,4,2,2,2,15125,15351,15221,13848,4690,4894,3966,645,517,366,929,0,0
120,156,24,0,1,2,16,1,1,4,2,2,1,5222,8540,8337,8874,8841,1227,5759,0,1769,0,1168,5637,0
121,157,8,1,3,2,14,2,1,2,2,2,2,12392,5112,5619,6409,6535,6409,5560,4189,2511,1783,2425,1760,0
122,159,2,0,2,2,4,2,2,2,2,2,1,4812,4930,5200,5049,1344,1449,848,1218,518,120,1632,0,0
123,162,13,1,2,1,13,3,1,2,2,2,2,273,2970,4518,5377,5472,5634,3799,3541,2849,457,929,1760,0
124,163,2,1,2,2,10,3,7,6,6,4,3,7742,7540,7643,7750,7643,7673,0,645,0,0,701,0,0
125,164,31,0,1,2,11,2,2,2,2,2,2,13635,13766,13787,14146,13633,11507,5165,4006,4995,3467,3436,3072,0
126,166,18,1,1,2,8,1,1,1,0,1,2,5019,411,316,317,6364,6269,139,0,0,5183,299,3454,0
127,167,18,1,1,2,3,1,1,4,2,2,0,5792,7709,7611,4507,335,362,6422,0,160,0,0,0,0
128,168,5,0,2,1,15,2,2,2,2,1,1,11909,6650,6630,303,366,811,1619,645,1769,456,929,5148,0
129,170,15,1,2,1,13,0,0,0,0,0,0,273,302,316,366,335,1381,0,0,95,0,1370,0,0
130,171,2,1,1,2,1,2,2,2,2,1,2,6931,7082,6918,3815,6987,7088,1143,677,468,5276,634,913,0
131,173,18,1,1,1,17,0,0,0,0,0,0,748,302,316,317,335,362,0,0,0,0,0,0,0
132,174,14,0,1,2,10,2,2,4,2,2,3,8778,8709,6525,7581,9101,4748,6202,0,2511,4283,0,2104,0
133,175,14,1,1,2,5,1,2,1,1,1,1,5475,6616,5182,3016,5380,688,5147,5531,3971,4990,437,4055,0
134,176,12,0,2,2,5,2,2,2,2,2,2,16970,16952,16965,16936,16734,16566,3592,3541,3213,3441,3394,3385,0
135,177,2,0,3,1,22,1,1,2,2,2,2,393,7362,7337,7201,7263,7131,6138,940,1105,1345,2708,1523,0
136,178,10,0,1,1,26,1,1,1,1,1,1,510,1253,561,552,574,362,1117,262,331,357,0,2024,0
137,181,34,1,1,1,29,1,1,1,1,0,0,4287,2576,1926,1352,335,1492,3287,2276,1518,0,1538,222,0
138,182,22,0,1,2,3,2,2,2,1,1,1,16872,16858,16876,3809,335,15053,3592,3585,4667,0,5753,0,0
139,184,4,1,3,1,22,2,2,2,2,2,2,10492,10587,10624,10783,10486,10109,1336,1133,1049,1378,1370,913,0
140,185,3,0,2,2,18,2,2,2,4,2,2,9049,8917,6681,5233,3614,3763,2438,1868,0,933,1755,121,0
141,186,3,0,3,1,21,1,1,1,1,1,3,510,552,561,446,1178,901,281,262,197,1354,0,0,0
142,188,8,0,2,2,15,4,2,2,2,2,2,15264,15084,15082,15210,14704,14589,2485,2736,2788,2459,2737,2417,0
143,189,11,1,3,0,10,2,2,2,2,2,2,16005,15500,15152,14719,13868,13632,3088,3541,2511,2459,2425,4400,0
144,190,31,1,1,2,17,1,1,1,1,0,0,1184,2647,374,317,335,362,3389,78,0,0,0,0,0
145,191,34,1,3,2,24,2,2,2,2,2,2,20514,20147,19847,19399,18875,18518,5548,5470,5271,4907,4846,4750,0
146,192,30,1,2,2,14,2,2,2,2,2,2,20384,20048,19211,18996,18524,18213,5497,4878,5601,4873,4539,4948,0
147,193,32,1,2,2,12,2,2,2,2,2,2,16111,16089,16747,14149,11710,10330,5185,5905,1871,1849,3428,2865,0
148,195,17,1,1,2,7,2,2,2,2,2,2,17871,17688,17483,17270,16984,16767,4259,3473,5843,3387,3355,3374,0
149,196,36,0,3,1,23,1,1,1,1,1,0,2174,1881,1464,668,335,362,2177,1473,489,0,0,0,0
150,197,2,0,2,1,16,2,2,2,2,2,2,6309,6152,6862,6946,6890,7047,1249,2375,576,627,772,711,0
151,199,2,1,3,2,3,3,4,2,2,2,2,7132,6664,6278,3582,1411,362,0,968,430,88,0,2555,0
152,200,5,1,1,2,3,2,2,2,2,2,2,10116,10195,9671,7230,4604,1261,1705,1594,859,214,940,343,0
153,202,5,0,2,1,5,2,2,0,1,1,2,16740,302,316,1832,11916,11881,0,0,2263,5679,1569,1760,0
154,204,6,1,2,1,12,2,2,2,2,2,2,13455,10275,7524,7716,7628,7178,1149,933,857,672,750,539,0
155,205,8,0,1,2,14,1,1,1,1,1,1,3975,2437,3377,1372,1208,7433,3076,4306,1534,1280,5217,2052,0
156,206,15,1,2,2,6,2,2,2,2,2,2,17760,16926,12825,11804,10908,9631,3359,1362,1392,1130,1005,2125,0
157,207,21,1,1,2,10,0,0,0,0,1,1,1196,302,3560,883,3105,1782,0,4487,766,3879,1987,2620,0
158,210,6,1,1,2,7,3,4,4,0,0,1,7699,7447,316,317,335,1779,0,0,0,0,1982,0,0
159,211,5,0,1,2,18,2,2,2,2,2,2,11764,11891,12178,12888,10194,5942,1432,1592,2511,1783,1755,1760,0
160,212,5,1,2,2,6,2,2,2,2,2,2,8679,8819,9099,9225,9509,9597,1432,1367,771,1122,1118,1006,0
161,213,18,1,1,2,11,1,1,4,4,1,1,2112,3133,1916,317,1943,362,2272,0,0,2346,0,146,0
162,214,3,1,1,2,19,1,1,4,4,3,3,332,425,384,325,344,395,256,74,0,0,53,49,0
163,215,2,1,2,2,19,2,2,2,2,2,0,7319,7378,7300,7306,335,362,1241,1776,1868,0,0,0,0
164,216,25,1,2,1,54,2,1,1,1,1,1,12982,1346,1291,955,2955,907,1271,1165,867,3705,734,1086,0
165,217,10,1,2,2,6,2,2,2,2,2,2,10443,10011,9479,9987,10223,10285,1421,1413,955,1075,2079,0,0
166,218,34,0,1,2,4,2,2,2,2,3,2,11558,11508,12065,12935,11210,8517,2043,3031,3642,66,952,2146,0
167,219,5,0,3,1,25,2,2,2,2,2,2,10193,5843,5935,6111,6235,6417,1203,903,505,564,929,1760,0
168,220,5,1,2,2,5,3,4,4,2,2,2,12713,12772,12230,9924,9813,9810,1346,86,1055,1785,1760,2420,0
169,221,3,0,2,2,7,2,2,2,2,2,2,9248,9263,9238,8619,8013,362,3598,880,732,890,0,0,0
170,223,16,1,1,2,7,2,2,2,2,1,2,14540,11850,8931,3449,16000,14998,4462,1592,857,5872,4876,4552,0
171,224,5,0,2,1,4,2,2,2,2,2,2,8908,9004,9289,9879,9817,9279,1207,1026,839,927,953,806,0
172,225,14,1,2,1,27,2,1,1,1,1,1,1015,1110,885,1160,1070,7824,880,716,1193,1057,5274,1229,0
173,226,16,1,2,1,12,1,1,1,1,2,1,3985,1771,4294,13054,3492,1743,2006,5039,6215,1422,1929,0,0
174,227,10,1,3,1,22,2,2,0,0,0,0,13863,302,316,317,335,362,0,0,0,0,0,0,0
175,229,5,0,2,2,8,2,2,2,2,2,2,12302,10101,9918,9167,9656,9210,1242,1033,2511,2555,990,3886,0
176,230,16,1,1,1,17,1,1,1,1,3,1,2683,2690,3100,7011,6186,5182,3446,3978,5685,0,4882,1700,0
177,231,23,1,1,2,16,0,0,0,0,0,0,1687,12640,316,317,504,572,6530,0,0,268,296,0,0
178,232,8,1,1,2,16,1,1,1,1,1,1,4653,450,3106,409,1360,6218,186,3984,148,1505,5104,2970,0
179,233,15,1,2,1,4,1,1,0,1,1,1,3344,302,316,496,517,553,0,0,263,285,274,274,0
180,234,0,0,3,2,2,2,2,2,2,2,3,3631,3788,4092,4124,4347,4232,787,933,409,788,0,145,0
181,236,4,1,1,2,27,2,2,2,2,2,2,10093,10008,10058,10600,10669,10610,1240,1225,1328,1378,1370,1358,0
182,238,10,0,3,2,11,2,2,2,2,2,2,14515,9663,7533,7376,7467,6633,1654,1596,531,1790,938,1775,0
183,239,12,0,1,1,13,1,4,1,2,2,2,969,723,1177,887,617,362,0,984,0,0,0,400,0
184,241,20,1,2,2,12,2,2,2,2,2,2,4982,5209,5433,5616,6116,4996,1619,957,1769,1783,1118,2417,0
185,242,7,1,2,2,15,2,2,2,2,2,2,14397,14347,14278,9938,5584,5753,3349,5483,2705,2459,2425,1760,0
186,243,5,1,1,2,5,1,1,1,1,1,1,1016,496,506,496,517,553,224,205,263,285,274,274,0
187,244,5,0,3,1,12,2,2,2,2,2,2,12711,12552,12682,7511,7572,7316,1626,1772,603,658,644,634,0
188,245,25,1,2,1,10,2,2,2,2,2,2,16750,16566,16200,16266,16070,15821,3088,3302,3593,3011,3394,3150,0
189,246,3,1,1,2,6,2,2,1,2,2,0,1241,1772,745,1428,335,362,660,436,1328,0,0,0,0
190,247,27,0,2,1,23,2,2,2,2,1,1,17769,16876,15971,14443,11748,11520,5196,3649,5018,5665,5595,5402,0
191,248,18,1,3,2,9,2,2,2,2,2,2,18907,18413,18106,17157,16201,14080,4655,4031,2893,2806,2425,2562,0
192,249,10,1,1,2,7,2,2,2,2,2,2,13040,12905,12914,13037,13231,13092,3200,2375,1793,3441,2425,2417,0
193,250,23,1,3,1,11,2,2,2,2,2,2,19535,15794,15942,16039,15929,15699,3592,3541,3593,3441,2983,3385,0
194,251,21,1,1,1,25,1,1,1,1,1,1,17098,10976,7715,7518,6074,762,6462,6069,5744,5142,529,5138,0
195,252,21,0,1,2,17,4,2,2,2,2,2,13714,13816,13840,13918,13853,11877,2620,1618,1769,1783,1755,2105,0
196,254,24,1,2,1,25,2,2,2,2,2,2,4237,4452,4599,4674,4963,2563,942,645,857,933,929,913,0
197,257,3,0,2,1,22,5,4,4,4,3,3,1364,1843,1494,1609,1564,1903,753,0,248,0,542,0,0
198,259,13,0,1,2,8,3,0,0,0,0,0,273,302,316,317,335,362,0,0,0,0,0,1358,0
199,260,20,0,1,2,10,2,2,2,2,2,2,19519,19294,18914,17526,17184,16918,4957,4500,3485,3379,3473,3538,0
200,261,12,1,2,1,8,1,1,1,1,1,1,1355,742,1623,1198,335,1543,456,1877,1259,0,1629,2101,0
201,262,21,1,2,1,15,2,2,2,2,2,2,18363,18134,18046,17958,17616,16859,4240,3603,4029,3812,3232,3281,0
202,263,28,1,1,1,15,2,2,2,2,2,2,13543,13641,13881,9803,10044,10021,2226,2715,1144,1030,1026,1760,0
203,265,10,0,2,2,16,2,2,2,2,2,2,16530,16308,14174,14223,14052,13707,2765,1888,2030,2049,2127,1982,0
204,266,5,1,3,1,19,2,2,2,2,2,2,12475,12734,4983,5208,5422,5594,1963,843,857,933,929,913,0
205,268,20,1,1,2,6,1,1,1,2,2,2,825,747,947,2488,2454,3549,461,623,3067,947,2737,2344,0
206,269,11,1,2,2,5,0,0,0,0,0,0,535,2133,3015,1108,1479,620,2578,3956,0,2459,0,0,0
207,270,30,1,2,1,6,3,1,1,0,0,0,273,2902,316,317,335,362,3726,0,0,0,0,0,0
208,272,6,1,1,2,6,1,1,1,1,1,1,7580,5411,5504,2716,489,4955,5671,5660,3558,246,4939,0,0
209,273,18,1,2,1,13,2,2,2,2,2,2,18365,18228,18109,17343,17072,16888,4434,3541,3593,3416,3394,3449,0
210,274,2,0,1,2,19,2,2,2,4,2,2,4901,5404,6074,4579,5273,5562,2402,2463,0,2459,1370,0,0
211,276,10,0,1,2,6,2,2,2,2,2,2,13208,12893,10031,9480,6475,3260,1271,921,160,598,841,169,0
212,278,11,1,2,2,15,2,2,2,2,2,2,11917,12148,12618,12904,12937,12891,1804,2025,1769,1867,2128,1909,0
213,279,26,1,3,1,32,3,1,1,0,0,1,273,382,654,596,579,687,112,350,389,363,435,408,0
214,280,5,1,3,1,25,5,4,4,2,2,2,12106,12675,9345,9821,9944,8419,2934,1,926,963,799,593,0
215,281,18,0,2,2,8,3,0,0,0,0,0,271,300,314,315,333,360,0,0,0,0,0,0,0
216,283,35,1,1,2,6,2,2,2,2,2,2,19098,18983,18534,18121,17549,15914,6108,3769,3593,3794,2272,5553,0
217,284,5,0,2,2,3,1,2,2,2,2,2,1171,1765,2378,3528,3821,3783,724,1129,2953,2131,1206,913,0
218,286,21,0,2,2,22,3,0,1,2,2,2,273,302,10610,11343,11866,10767,0,6376,2511,3441,2425,2417,0
219,289,35,0,2,1,34,0,1,1,0,0,0,12566,11330,3832,1613,8499,3550,6480,4739,1932,5413,4165,5680,0
220,290,15,0,1,1,19,4,4,4,4,3,3,16570,16565,16382,16537,16318,16150,3715,0,4621,3011,3090,3060,0
221,293,6,1,1,2,7,3,4,2,2,2,2,4785,4563,4759,4840,7853,10162,0,1112,586,4626,4785,4053,0
222,294,2,0,1,2,6,2,2,2,2,2,2,7521,6977,7139,7245,7098,6906,969,1225,714,651,615,330,0
223,295,19,1,1,2,7,2,2,2,2,2,2,18370,18239,18231,18081,17778,17542,3965,4484,3894,3760,3906,3734,0
224,296,26,1,1,2,9,2,2,2,2,2,2,18753,18568,18416,18168,17809,17525,5147,4652,4029,4117,4067,3770,0
225,297,14,1,2,2,10,0,0,0,0,0,0,510,302,316,317,335,362,0,0,0,0,0,0,0
